model_number,star_age,star_mass,log_L,log_Teff,log_R,he_core_mass,c_core_mass,o_core_mass,si_core_mass,fe_core_mass,center_h1,center_he4
600.0,7097196.7167127365,25.0,5.4371287515081566,3.6613537050861247,2.919115802034455,9.082823381522779,6.603324942439044,6.60672069801263,0.0,0.0,0.0,1.7898719380173617e-12
610.0,7097196.73042071,25.0,5.437643158509517,3.661474537360973,2.9191313409854387,9.082823380789604,6.560979712962866,6.601692780751406,0.0,0.0,0.0,1.42041421805807e-12
620.0,7097196.746909479,25.0,5.438308451986086,3.6616316907055286,2.9191496810346123,9.08282337982417,6.55728469552754,6.60042119176966,0.0,0.0,0.0,1.0016995940686928e-10
630.0,7097196.749271938,25.0,5.438768926168851,3.661743289028803,2.9191567214794465,9.082823379656027,6.5568671056894345,6.600548557811671,0.0,0.0,0.0,2.025741086167927e-10
640.0,7097196.751295765,25.0,5.4389351588057275,3.661782176710531,2.9191620624344288,9.082823379511918,6.553408289669052,6.601873401384123,0.2370891154378702,0.0,0.0,7.786797613928331e-11
650.0,7097196.75630828,25.0,5.439128399587665,3.6618251037384715,2.919172828769517,9.082823379158,6.55340828966909,6.601327445930022,0.252836995535754,0.0,0.0,5.342992793155346e-11
660.0,7097196.758396784,25.0,5.439181754710777,3.661836506993436,2.9191766998211426,9.082823379011325,6.556413892080849,6.601327445930058,0.0,0.0,0.0,4.5965729043050893e-11
670.0,7097196.768446271,25.0,5.439375314852427,3.6618770470602007,2.9191923997584395,9.082823378306989,6.548545430137948,6.595552779479148,0.5060321287719031,0.0,0.0,7.889766383306039e-11
680.0,7097196.780634343,25.0,5.439381645330491,3.6618722303035054,2.91920519851086,9.082823377458423,6.549428890449552,6.594127769022197,0.5961326600244702,0.0,0.0,7.332572825430185e-11
690.0,7097196.800500065,25.0,5.439062479070006,3.66178856970986,2.919212936567908,9.08282337610435,6.549428890449586,6.5924026643783575,0.7329513425902624,0.0,0.0,6.976670189056171e-11
700.0,7097196.813325746,25.0,5.438582707785589,3.66167019974379,2.9192097908578414,9.082823375258446,6.549428890449617,6.592878555314622,0.758215035540772,0.0,0.0,1.2613206848885538e-10
704.0,7097196.816779336,25.0,5.438414118545952,3.661629136498002,2.9192076227295964,9.082823375032962,6.549428890449625,6.592878555314632,0.7577645751283425,0.0,0.0,1.847137975095763e-10
705.0,7097196.817917983,25.0,5.438281152638078,3.661596685307551,2.919206042156564,9.082823374954735,6.549428890449544,6.5928785553145515,0.7701570114310367,0.0,2.5928388286404415e-32,1.0033926199889388e-11
710.0,7097196.824110029,25.0,5.4382129854477865,3.661580735358036,2.9192038584604467,9.082823374518506,6.54907979348072,6.5929281272871165,0.7980891216381174,0.0,8.080679663873128e-32,3.129596457358806e-10
720.0,7097196.827522515,25.0,5.438352107297128,3.6616143794449028,2.919206131211385,9.082823374275016,6.54907979348072,6.5929281272871165,1.0137652257180212,0.0,1.1189625066278383e-32,6.380216071827119e-11
