radius,mass,logT,logRho,logP,logL,mu,log_opacity,eps_nuc,h1,he4,c12,o16,gradr,grada,mixing_type
2.350435719906481,12.49324902223316,7.272868553436437,-0.08737684761360429,15.373564241940148,4.842947499990307,0.6199252294845731,-0.44010646507442824,28.587964670911276,0.6999995881778789,0.279970334002619,0.0034389403428456604,0.009360448798100626,0.29585112752630577,0.3131688006088313,0.0
2.3646629042053386,12.628990707276682,7.270124521634005,-0.09365030292117138,15.36428911986635,4.843453140158974,0.6199252041693756,-0.43947205377662557,25.4301078384236,0.6999996335171914,0.27997032064979466,0.0034392381263147766,0.009360448861115544,0.2945749020899773,0.31335298773100867,0.0
2.3788257945724296,12.763781463471002,7.267389461003559,-0.09995051581580565,15.355004271593543,4.84399453940653,0.619925181676884,-0.43884275861992794,22.62341904632637,0.6999996737987444,0.2799703086381063,0.003439502797334105,0.009360448915907078,0.2933505948112402,0.31353233274924475,0.0
2.3929261054051083,12.897616783090049,7.264662907977009,-0.10627662159125478,15.345709677148518,4.844569674992755,0.6199251616903333,-0.43821810075139006,20.128450075349217,0.6999997095908614,0.2799702978339181,0.0034397380424786516,0.009360448963550351,0.2921764776406447,0.3137069953572877,0.0
2.406965480663328,13.030492550987226,7.261944414952743,-0.11262779120902504,15.336405321122944,4.845176570233856,0.6199251439288714,-0.43759762131733937,17.910252453574167,0.699999741397331,0.2799702881168102,0.0034399471344593547,0.009360449004978826,0.2910508876053531,0.31387710273997615,0.0
2.4209454976095706,13.16240503165211,7.259233549573664,-0.11900323255135599,15.327091192134716,4.845813300498467,0.6199251281434125,-0.43698088056662615,15.937853407475602,0.6999997696648695,0.2799702793782887,0.003440132979383187,0.009360449041003357,0.28997222772111186,0.3140427480892131,0.0
2.4348676711519186,13.293350856649855,7.256529894009793,-0.12540221522820763,15.317767282326892,4.846477990915524,0.6199251141129846,-0.43636745909190156,14.183793642657784,0.6999997947896957,0.2799702715206149,0.0034402981584554645,0.00936044907232839,0.288938962369945,0.31420403357580606,0.0
2.448733458096391,13.423327012285277,7.253833044303082,-0.13182407446519903,15.308433586927668,4.847168812639071,0.6199251016415074,-0.43575695736248554,12.623721108380925,0.6999998171233263,0.2799702644557495,0.003440444964806614,0.009360449099566185,0.28794961421179915,0.31436112816453554,0.0
2.4625442591667355,13.552330824839807,7.251142609788255,-0.13826815584015809,15.299090103971853,4.847883985074004,0.619925090554955,-0.4351489900270204,11.236034525396125,0.6999998369776804,0.2799702581044018,0.0034405754360097565,0.009360449123248942,0.28700275019552857,0.3145142225761122,0.0
2.4763014183307455,13.680359924642994,7.248458212907732,-0.1447338067107689,15.289736834945197,4.84862177995129,0.6199250806988433,-0.43454323033066095,10.001567077880345,0.699999854629602,0.2799702523951629,0.0034406913828863074,0.009360449143839369,0.28609672939531594,0.3146635247389395,0.0
2.4900062230917843,13.807412220381677,7.24577949152703,-0.15122037723238568,15.280373785921272,4.849380525639629,0.6199250719360115,-0.4339401205242389,8.90330792368971,0.6999998703248425,0.27997024726373076,0.003440794414989995,0.00936044916173982,0.2852295161380309,0.31480925955768085,0.0
2.5036599066913587,13.933485890982455,7.243106102748088,-0.15772722592422883,15.271000967783689,4.850158610546933,0.6199250641446584,-0.43334072220984726,7.926156303144228,0.6999998842815952,0.2799702426522058,0.0034408859632118686,0.009360449177300265,0.2843989282098321,0.3149516663847512,0.0
2.517263650319067,14.058579377785858,7.240437724243741,-0.1642537233495135,15.261618395855123,4.850954490804182,0.6199250572166014,-0.43274610505203953,7.056703254906374,0.699999896693622,0.27997023850845293,0.003440967299813324,0.009360449190825118,0.28360284364113403,0.315090995618428,0.0
2.5308185855607435,14.182691377012645,7.2377740536652055,-0.17079926306709145,15.252226089543969,4.8517666970899045,0.6199250510557393,-0.43215733021130287,6.28303827140661,0.6999999077330158,0.2799702347855298,0.0034410395561798547,0.009360449202579224,0.282839205641979,0.31522748464272143,0.0
2.544325798633024,14.305820832442729,7.235114808009352,-0.17736332299005983,15.24282407201429,4.852593827594441,0.6199250455766896,-0.4315754570838819,5.5945780712018225,0.6999999175526482,0.27997023144117067,0.003441103738555011,0.009360449212793033,0.2821060132933098,0.31536124045730507,0.0
2.5577863341353524,14.42796692874,7.232459723082628,-0.1839454532460119,15.233412369891287,4.8534345413647655,0.6199250407035856,-0.43100154328671364,4.981916670293645,0.6999999262883319,0.27997022843732067,0.0034411607419585553,0.009360449221667087,0.28140131520815975,0.3154923059289173,0.0
2.5712011983908365,14.549129088950501,7.229808552987771,-0.19054525295639127,15.22399101283812,4.85428755352285,0.6199250363690094,-0.43043664346568433,4.4366928495900595,0.6999999340607332,0.27997022573971914,0.003441211362533008,0.009360449229375888,0.2807232044883543,0.3156207122043548,0.0
2.5845713661236274,14.669307005285948,7.227161069255666,-0.19716236288531547,15.214560031691773,4.855151630942788,0.6199250325130461,-0.42988180927151554,3.95147256228681,0.6999999409770722,0.2799702233175223,0.0034412563085172705,0.009360449236071308,0.2800698135926204,0.31574648337082467,0.0
2.597897779656593,14.788500606945547,7.22451706034343,-0.20379645158072618,15.205119457748113,4.856025588478854,0.619925029082445,-0.4293380887634205,3.5196449608298823,0.6999999471326271,0.2799702211429634,0.0034412962099729023,0.009360449241885505,0.2794393105389036,0.31586964320848354,0.0
2.6111813517445848,14.906710065224232,7.221876331457995,-0.21044720225361335,15.195669323052659,4.8569082863580935,0.6199250260298786,-0.4288065258950729,3.135330325447383,0.6999999526120649,0.2799702191910483,0.003441331627423219,0.009360449246933522,0.2788298955531996,0.31599022178369374,0.0
2.624422966465843,15.023935784501553,7.219238704161616,-0.2171143030059865,15.186209659822103,4.857798628779477,0.6199250233132814,-0.428288160096938,2.79329840299738,0.6999999574906294,0.2799702174392785,0.0034413630595286166,0.00936044925131543,0.27823979955313494,0.31610826249602025,0.0
2.6376234790743256,15.140178394217696,7.216604016139871,-0.2237974111201729,15.176740500394748,4.858695569958071,0.6199250208952636,-0.4277840233366,2.4888961782305716,0.6999999618351874,0.2799702158674056,0.003441390949906438,0.009360449255118364,0.277667287563742,0.31622386481935366,0.0
2.6507837156207943,15.255438741038853,7.213972120925061,-0.2304961459805671,15.167261877143606,4.859598121840014,0.6199250187425933,-0.42729513974658534,2.217983591321792,0.6999999657051637,0.2799702144572056,0.003441415693197903,0.009360449258418108,0.2771106602744497,0.31633719534087074,0.0
