model_number,star_age,star_mass,log_L,log_Teff,log_R,center_h1,center_he4
640.0,12384769136.776638,0.9649750282093529,2.224929985849068,3.6038336159967317,1.4280565973836967,0.0,0.9800918693101669
650.0,12386161042.486366,0.9627807784138386,2.2600666506435982,3.600995635634848,1.4513008905047295,0.0,0.98009185830736
660.0,12387407660.937056,0.9604911801664762,2.2994735121062964,3.5977770078686886,1.4774415767683984,0.0,0.9800918469786388
670.0,12388505708.806835,0.9581366529968379,2.3397791715883693,3.5944201623681997,1.504308097510412,0.0,0.9800918360103712
680.0,12389480846.889761,0.9557507658697754,2.3741297342619676,3.5915670299417877,1.5271896437000347,0.0,0.9800918255754079
690.0,12390346918.402084,0.9533387511086282,2.400946698499709,3.589303732439734,1.5451247208230128,0.0,0.9800918157976442
700.0,12391141522.2614,0.950848288431985,2.4315152817008645,3.5867030373905653,1.5656104025219293,0.0,0.980091806423649
710.0,12391829899.399906,0.948411280718618,2.4703857318141353,3.58334471910737,1.5917622641449534,0.0,0.980091797995695
720.0,12392414690.121696,0.9460683554216418,2.4765924710999996,3.582827535714135,1.5959000005743564,0.0,0.9800917906150715
730.0,12392968592.879042,0.9437563412841381,2.50178674624852,3.580663458434986,1.6128252927069155,0.0,0.9800917834305285
740.0,12393503077.020575,0.9412973500970961,2.5248427330960816,3.5786096415691233,1.62846091986242,0.0,0.9800917763177723
750.0,12393983965.609848,0.9388678045603159,2.5548818423442508,3.575957043634145,1.6487856703564616,0.0,0.9800917697639251
760.0,12394420710.255224,0.9364073201829463,2.5719855980393573,3.574413463146283,1.6604247091797388,0.0,0.9800917636829061
770.0,12394829159.334528,0.9339165682156546,2.5910542293429506,3.5726902207403124,1.6734055096434766,0.0,0.9800917578793574
780.0,12395216838.09308,0.9313868547212801,2.610798826002961,3.5708923494935334,1.6868735504670405,0.0,0.9800917522614541
790.0,12395577286.236177,0.9287720548171025,2.638728488344782,3.568311700716546,1.7059996791919252,0.0,0.9800917469391472
800.0,12395908409.132505,0.9261427026342943,2.66164732002167,3.566209177535884,1.7216641413916944,0.0,0.9800917419632742
810.0,12396216775.102268,0.9235362691684483,2.6712177978117913,3.5653139253350026,1.7282398846885165,0.0,0.9800917372485968
820.0,12396512584.007208,0.9208492273251833,2.6874264173872353,3.563753754235816,1.7394645366746122,0.0,0.9800917326480271
830.0,12396797351.599283,0.9181029207675094,2.701014443514304,3.5624641101984413,1.7488378378128961,0.0,0.9800917281421658
