radius,mass,logT,logRho,logP,logL,mu,eps_nuc,h1,he4,gradr,grada
2.28821372432186,0.5113110271597969,5.748921544080927,-4.859360375447951,9.103679280256074,3.018337595312599,0.6312038401434059,1.935122152580461e-17,0.6785352061875433,0.3001472058383038,0.1978279656586712,0.2942164275063947
2.2993859655013686,0.5113127087885757,5.746008744611309,-4.871843760480808,9.089020479527116,3.0183375609466085,0.6312098833342444,1.7230947961134146e-17,0.6785351333259293,0.30014700377921555,0.19767428201817785,0.29392407560468087
2.3106662337661246,0.5113143904173548,5.744060023384707,-4.8802635507027015,9.079161829130355,3.018337526199169,0.6312141334195085,1.5939442561640243e-17,0.678535084779472,0.3001468691316714,0.19751470546616265,0.2937220632077391
2.333559769304721,0.5113177536749127,5.741126740666082,-4.89304465131511,9.0642412259694,3.0183374552740356,0.6312202781189131,1.4169651648325446e-17,0.6785350121518849,0.3001466675940343,0.19721039362541684,0.29340783523865455
2.356902356109523,0.5113211169324706,5.7372016036494875,-4.9100854091960455,9.044334579944799,3.018337383013904,0.6312263561071052,1.2102688080876113e-17,0.6785349158315854,0.30014640005393056,0.19693795899107772,0.2929899491987246
2.3807054352376165,0.5113244801900285,5.733257634277266,-4.927256577654534,9.024304711862309,3.018337309186076,0.631228674620873,1.0324360117460079e-17,0.6785348198490853,0.30014613327998796,0.1966837903849305,0.29256428091973735
2.404980659987668,0.5113278434475864,5.729294774411392,-4.94455697624228,9.004152856116862,3.018337233785273,0.6312279487674612,8.796312290202494e-18,0.6785347242021609,0.3001458672660402,0.19644609368899368,0.2921326795987669
2.4297398607039193,0.5113312067051443,5.725313029156181,-4.961984739574181,8.983880422832499,3.018337156806128,0.6312263794015524,7.48502690313319e-18,0.6785346290070114,0.30014560228866,0.19622379535343543,0.2916960767646715
2.4549950045765705,0.5113345699627022,5.721312454277249,-4.979537283002284,8.963489004363252,3.0183370782424057,0.6312257667644336,6.3612392433387316e-18,0.6785345342369103,0.300145338282579,0.19601764080582185,0.291255455489285
2.480758228098238,0.5113379332202602,5.717293120434713,-4.99721259733182,8.942980380598732,3.0183369980854358,0.6312263850248484,5.3994029810283944e-18,0.6785344398799903,0.30014507522502365,0.19583013832292706,0.2908128969436909
2.507041962898126,0.511341296477818,5.71325507777584,-5.01501076593762,8.922356525521744,3.018336916315541,0.631226845514866,4.57723310267137e-18,0.6785343461471205,0.300144813598373,0.19566478931655792,0.29037016912768004
2.5338589176108486,0.5113446597353759,5.709198336399168,-5.032931445927397,8.90161961821832,3.018336832909254,0.6312267718155026,3.875351411331587e-18,0.6785342525666309,0.300144552311211,0.19549380905383526,0.2899261629553786
2.5891841790985164,0.5113513862504918,5.703071683051543,-5.060467955488889,8.869960568772235,3.0183366607583038,0.6312294530796128,3.0083148737556823e-18,0.6785341127376253,0.3001441616083806,0.19531002350159285,0.28921860585764836
2.6176787865510347,0.5113547495080497,5.696917453775114,-5.08742088440962,8.838741254424336,3.0183365724680016,0.6312380474254619,2.3342003611805674e-18,0.678533973543132,0.30014377234680945,0.19533294999711437,0.2885627414153477
